image_path;A5
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/1 Sekar Kemuning A.jpg;"The batik motif in the image is named ""Sekar Kemuning."" It features a central sunflower-like flower with a circular center and radiating petals, surrounded by intricate patterns of small, white, flower-like shapes against a dark blue background. The motif symbolizes the balance between thought, ability, and facility in creating development in society, reflecting the cultural significance of the Kemuning tree and its flowers in Javanese society. The Kemuning tree and its flowers hold special meaning, representing concentration, balance, and the use of natural resources for societal development."
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/1 Sekar Kemuning B.jpg;"The batik motif in the image is named ""Sekar Kemuning."" It features a central flower or cluster of flowers made up of interconnected lines and dots, surrounded by smaller floral elements and geometric shapes. The motif symbolizes a balance between thoughts, abilities, and facilities in creating development in society. The dark blue background and light beige elements create a visually striking contrast, emphasizing the intricate details of the design. The use of Kemuning trees and their flowers in Javanese culture adds a layer of cultural significance, representing concentration, balance, and the importance of natural elements in daily life."
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/10 Sekar Ketongkeng A.jpg;"Create an image of a traditional batik cloth featuring the motif 'Sekar Ketongkeng'. The motif is inspired by the orchid Scorpions orhide, with flowers resembling scorpions. The central motif is a diamond-shaped pattern surrounded by curved lines and dots, creating a symmetrical and balanced design. The background is dark blue, with light beige geometric shapes and floral patterns, and gold accents and border. Incorporate cultural batik descriptions to enhance the visual appeal and cultural significance."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/10 Sekar Ketongkeng B.jpg;"Create an image of a traditional batik cloth featuring the motif 'Sekar Ketongkeng.' The motif is inspired by the orchid Scorpions orhide, with flowers resembling scorpions. The design includes a central diamond-shaped pattern surrounded by curved lines and dots. The background is dark blue, with light beige geometric shapes and floral patterns. Gold accents highlight the central diamond and curved lines. The overall aesthetic is intricate and culturally significant, reflecting the beauty and complexity of traditional batik art."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/11 Brendhi A.jpg;"Create an image of a batik cloth with a dark blue background featuring intricate patterns. The central motif should consist of a cross-like shape surrounded by diamond-shaped patterns, circular motifs, and stylized flowers. The colors used should include shades of brown, beige, and white. Incorporate cultural batik descriptions, such as the origin of the name 'Brendi' and its association with whiskey-line drinks during the Dutch East Indies era. Ensure the design is symmetrical and repetitive, with each element carefully arranged to form a cohesive pattern."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/11 Brendhi B.jpg;"Create an image of a traditional batik cloth with the motif named 'Brendi'. The motif features a central floral arrangement with a cross-like center, surrounded by smaller flowers and geometric shapes. The background is dark blue, and the motifs are outlined in gold with the inner parts filled with light beige or tan colors. Incorporate cultural descriptions of the batik, including its origin as a drink during the Dutch East Indies era and its association with vitality and stamina. Ensure the image captures the intricate details and vibrant colors of the motif."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/12 Cakar Ayam A.jpg;"Create an image of a traditional batik cloth featuring the 'Cakar Ayam' motif. The design should consist of triangular and dot patterns arranged in a symmetrical fashion, with a dark blue or black background and light beige or tan motifs. The motif symbolizes the spirit of facing tomorrow to seek fortune, similar to a chicken searching for food in the morning. Incorporate cultural descriptions of the motif, such as its use in wedding rituals and during the birth of a child, to provide context and depth to the image."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/12 Cakar Ayam B.jpg;"Create an image of a batik fabric featuring the motif 'Cakar Ayam'. The motif consists of interconnected geometric shapes, including crosses and dots, arranged in a repetitive pattern. The background is dark blue, and the main pattern is light beige. Incorporate cultural descriptions of the motif, such as its symbolism of facing tomorrow to seek fortune and its use in wedding rituals and for holding babies. Ensure the image captures the intricate details and vibrant colors of the batik fabric."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/13 Sekar Menur A.jpg;"Create an image of a batik cloth with the motif 'Sekar Menur'. The motif should feature a dark blue background with light beige geometric shapes and floral elements. The geometric shapes include squares, rectangles, and floral designs, arranged in a grid-like pattern. The white color of the motifs symbolizes purity and the idea of doing good things without expecting anything in return. Incorporate the cultural description of the batik, which states that Menur (Clerodendrum chinense) flowers are pure white and overlap each other, representing piled-up purity. Ensure the image captures the essence of the batik's cultural significance and aesthetic appeal."""
/home/if24/mount/risetbatik/Batik Project/Dataset/GAN_nitik_couple/Patch/13 Sekar Menur B.jpg;"Create an image of a batik cloth featuring the motif 'Sekar Menur'. The motif should consist of stylized flowers with overlapping petals, arranged in a symmetrical pattern against a dark blue background. The flowers should be depicted in light beige or tan colors, creating a striking contrast with the dark blue. Incorporate the cultural description of the batik, which states that Menur (Clerodendrum chinense) flowers are pure white and symbolize piled up purity, encouraging doing good things without expecting anything in return."""
