image_path;A1;A2;A3;A4;A5
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/1. Parang Barong Seling Nitik_1.JPG;The image shows a piece of batik cloth with intricate patterns. The design features geometric shapes, circles, and lines in various colors, including brown, black, and white.;The shapes in the motif include circles, squares, and linear patterns. The circles are often nested within each other or surrounded by other shapes. The lines create a sense of depth and movement across the fabric.;Brown, black, white;A detailed batik cloth with geometric patterns in brown, black, and white.;"""Create a piece of batik cloth featuring intricate geometric patterns with alternating brown, black, and white colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/1. Parang Barong Seling Nitik_2.JPG;The image shows a close-up of batik cloth with intricate patterns. The design features repetitive geometric shapes and motifs, including circles, lines, and crosshatches, arranged in a symmetrical pattern.;The shape and objects in the motif include circles, lines, and crosshatches.;The colors used in the image are brown, white, black, and blue.;The motif on the image is a traditional batik design with repetitive geometric patterns.;"""Create a detailed batik fabric with a symmetrical pattern featuring repeating circles, lines, and crosshatches in shades of brown, white, black, and blue."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/10. Parang kusuma Seling Parang Plenik Gapit_1.JPG;The image shows a piece of batik cloth with intricate patterns. The design features a combination of geometric shapes and abstract forms, with a mix of warm colors like brown, beige, and red.;The motif includes various geometric shapes such as triangles, squares, and circles, along with abstract forms that resemble leaves or branches.;Brown, beige, red;A detailed batik cloth with a mix of geometric and abstract patterns in warm tones.;Create a digital illustration of a batik cloth featuring a complex pattern of interlocking geometric shapes and abstract forms in shades of brown, beige, and red.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/10. Parang kusuma Seling Parang Plenik Gapit_2.JPG;The image depicts a piece of batik cloth with intricate patterns. The design features a combination of geometric shapes and abstract forms, with a warm color palette dominated by shades of brown and beige.;The motif includes various geometric shapes such as triangles, squares, and rectangles, along with abstract forms resembling leaves or branches.;The colors used in the image include shades of brown, beige, and white.;The image showcases a detailed batik pattern with geometric and abstract elements in warm tones.;Create a digital illustration of a batik cloth featuring a complex mix of geometric shapes and abstract forms, using a color palette of warm browns and beiges.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/100. Parang Barong Seling Parang Baladewa_1.JPG;The image depicts a piece of batik cloth with a complex and intricate design. The pattern features various shapes and objects, including elongated forms, dots, and possibly abstract representations of natural elements or cultural symbols.;The shapes and objects in the motif include elongated forms that resemble leaves or branches, dots scattered throughout the design, and possibly abstract representations of trees or plants.;The colors used in the image are primarily shades of brown, beige, and white.;The motif on the image is a detailed and colorful batik design featuring abstract shapes and patterns.;"""Create a batik cloth design with elongated leaf-like shapes, scattered dots, and a mix of brown, beige, and white colors, inspired by nature and cultural motifs."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/100. Parang Barong Seling Parang Baladewa_2.JPG;The image depicts a piece of batik cloth with intricate patterns. The design features abstract shapes and motifs in a combination of brown and beige colors.;The shapes in the motif include elongated ovals, circles, and various geometric forms. There are also small black dots scattered throughout the design.;Brown, beige, and black;A detailed batik cloth with abstract geometric shapes and patterns in earthy tones.;"""Create a batik cloth design featuring elongated ovals, circles, and geometric shapes in shades of brown and beige, with small black dots scattered throughout."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/101. Parang Baladewa_1.JPG;The image shows a piece of batik cloth with intricate patterns. The design features repeated motifs of clouds or leaves with detailed textures and borders.;The shape and objects in the motif are cloud-like or leaf-shaped forms with detailed patterns within them.;The colors used in the image are black, gold, and red.;The motif on the image is a detailed, repetitive pattern of cloud or leaf shapes with intricate designs, set against a black background.;"""Create a piece of batik cloth featuring repeated cloud or leaf-shaped motifs with detailed textures and borders, using a combination of black, gold, and red colors."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/101. Parang Baladewa_2.JPG;The image shows a piece of batik cloth with intricate patterns. The design features repeated motifs of clouds or stylized leaves in a repetitive pattern.;The shape and object in the motif are cloud-like or leaf-like forms arranged in a repeating pattern.;The colors used in the image are black, red, and gold.;The motif on the image is a traditional batik pattern featuring repeated cloud or leaf shapes in gold and red on a black background.;"""Create a detailed batik fabric with a repeating pattern of cloud or leaf shapes in gold and red on a black background."""
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/102. Parang Gendreh Seling Parang Sisik_1.JPG;The image depicts a piece of batik cloth with a complex and intricate design. The pattern consists of various shapes and objects, including elongated forms, dots, and geometric patterns, all arranged in a repetitive manner.;The shapes and objects in the motif include elongated forms, dots, and geometric patterns.;Brown, beige, white;A detailed batik cloth featuring a mix of elongated forms, dots, and geometric patterns in brown, beige, and white.;Create a digital artwork using Adobe Photoshop or GIMP, starting with a brown background. Use a brush tool to draw elongated forms and dots in beige and white. Add geometric patterns by creating small squares and rectangles filled with beige and white. Ensure the shapes are evenly spaced and repeat the pattern across the canvas.
/home/if24/mount/risetbatik/Batik Project/Dataset/Cenikapas_Couple/Parang 1024x1024/102. Parang Gendreh Seling Parang Sisik_2.JPG;The image depicts a piece of batik cloth with a complex and intricate design. The pattern consists of various shapes and objects, including elongated forms, dots, and geometric patterns, all arranged in a repetitive manner.;The shapes and objects in the motif include elongated forms, dots, and geometric patterns.;The colors used in the image are brown and white.;The motif features a repeating pattern of elongated forms and dots against a brown background.;"""Create a batik cloth design featuring elongated forms, dots, and geometric patterns in shades of brown and white."""
